,pmid,outcome,labels,full_text_values
25,30552531,"['Coping self-efficacy', 'Functional status', 'Depression', 'Quality of life', 'Adjustment']","['Life impact', 'Life impact', 'Life impact', 'Life impact', 'Life impact']","[['more than a standard deviation below the remaining treatment participants, the control participants, and almost two standard deviations below the mean of the instrument', '?.31', 'accelerated at a greater rate than the control group', 'no differences in self-efficacy for coping scores', '.39 (95% CI: 0.044,0.728)'], [], ['.47', 'F = 2.66, df = 3,126; p = .05'], ['.58', '.24 (95% CI: ?0.102,0.578)'], ['.51', 'F = 3.14, df = 3,121; p = .03', 'The advantage for the treatment relative to the control condition emerged at a SII frequency z-score of ?.75 (i.e., .75 SDs below the mean) and increased for those treatment patients who had higher SII frequency scores.']]"
26,30544421,"['Number of harvested lymph nodes', ""Surgeon's surgical condition score"", ""Patient's sedation score"", 'peak inspiratory pressure', 'operation time', 'postoperative pain', 'morbidity']","['Clinical', 'Clinical', 'Clinical', 'Clinical', 'Resource use', 'Adverse Event', 'Adverse Event']","[[], [], [], [], [], [], []]"
27,30538099,"['risk of high-grade and low-grade prostate cancer', 'high-grade prostate cancer (Gleason score > 6)']","['Clinical', 'Clinical']","[['no difference', '55% reduction of risk to develop high-grade prostate cancer when taking finasteride (RR=0.45, 95% C.I. [0.27,0.75])', 'decreased risk to develop low-grade prostate cancer when taking finasteride (RR=0.69, 95% C.I. [0.51,0.92])', '37% of PCPT participants whose risk of high-grade prostate cancer were decreased by finasteride (RR<1), and 26% of participants whose risk of high-grade prostate cancer were decreased by more than 25% (RR<0.75)'], ['SNP-treatment interaction for high-grade prostate cancer is statistically significant (family-wise error rate 0.018 based on the permutation test)', 'men carrying GG genotype had a 55% reduction of risk to develop', 'substantially increased risk (RR=2.21)']]"
28,30531832,"['Progression-free survival (PFS)', 'Overall survival (OS)', 'Response rate', 'Duration of response (DOR)', 'Anaemia', 'Neutropenia', 'Haematopoietic cytopenias', 'Discontinuation due to adverse events (AEs)']","['Mortality', 'Mortality', 'Clinical', 'Clinical', 'Clinical', 'Adverse Event', 'Adverse Event', 'Adverse Event']","[['12 vs 11 months (veliparib vs placebo) [HR = 0.94 (95% CI: 0.60, 1.48)] at primary analysis', '12 vs 11 months (veliparib vs placebo) [HR = 0.91 (95% CI: 0.60, 1.41)] at final analysis', '13 months (veliparib with bevacizumab), 14 months (placebo with bevacizumab)', '10 months (veliparib without bevacizumab), 8 months (placebo without bevacizumab)'], ['25 vs 27 months (veliparib vs placebo) [HR = 1.26 (95% CI: 0.74, 2.16)]', '26 months (veliparib with bevacizumab), 27 months (placebo with bevacizumab)', '25 months (veliparib without bevacizumab)'], ['57% for veliparib treatment group', '62% for placebo group'], ['median 11 months for veliparib', 'median 9 months for placebo'], ['39% vs 19%', 'p = 0.019'], ['66% vs 37%', 'p = 0.001', '59% vs 22%', 'p < 0.001'], ['79% vs 52%', 'p = 0.003'], ['14% in the veliparib arm, 15% in the placebo arm']]"
29,30528653,"['acute lower GI RTOG toxicity', 'Key secondary endpoints: patient-reported outcomes and late toxicity', 'G2+ lower GI toxicity-free rates', 'cumulative proportion', 'RTOG G2+ GI toxicity', 'RTOG G2+ bladder toxicity: PO group 5.1%, P&P group 5.6%']","['Adverse Event', 'Life impact', 'Adverse Event', 'Adverse Event', 'Adverse Event', 'Adverse Event']","[[], ['The Gulliford scoring system indicated that at 24 months, the majority of patients experienced no problem with their overall bowel habits (94 of 119), with 8% (10 of 119) reporting a moderate-to-severe problem', 'similar bowel symptoms according to the IBDQ bowel score', 'IBDQ bowel scores remained similar over time for both treatment groups'], ['96.7% (90% CI, 90.0%-99.4%) in PO group', '95.2% (90% CI, 88.0%-98.7%) in P&P group'], ['124 participants', '62 PO, 62 P&P', 'The cumulative proportion of RTOG G2+ GI toxicity at 2 years was 16.9% (95% CI; 8.9%-30.9%) and 24.0 (95% CI, 8.4%-57.9%) in the PO and P&P groups, respectively.', 'RTOG G2+ bladder toxicity at 2 years: PO group 5.1% (95% CI, 1.7%-14.9%), P&P group 5.6% (95% CI, 1.8%-16.7%)'], ['7% in PO group', '25% in P&P group', 'similar across treatment groups', 'The cumulative proportion of RTOG G2+ GI toxicity at 2 years was 16.9% (95% CI; 8.9%-30.9%) and 24.0 (95% CI, 8.4%-57.9%) in the PO and P&P groups, respectively.'], ['PO group 5.1% (95% CI, 1.7%-14.9%), P&P group 5.6% (95% CI, 1.8%-16.7%)']]"
30,30528222,['pain response'],['Clinical'],"[[""{'cabozantinib': 15, 'mitoxantrone-prednisone': 17, 'difference': -2, '95% CI': [-16, 11], 'p-value': 0.8}"", '82% of patients completed pain assessments at all three time points', '70% complete narcotic use data', '69% complete pain plus narcotic use data', '26% difference in bone scan response at week 12 per IRC (cabozantinib: 31%, mitoxantrone-prednisone: 5.2%), 95% CI: 13�39%', '?3']]"
31,30527787,"['proportion of clinically significant prostate cancer detected by each method', 'Gleason pattern ?3+4=7, maximum cancer core length ?4mm (primary outcome)', 'Gleason pattern ?4+3=7, maximum cancer core length ?6mm (secondary outcome)']","['Clinical', 'Clinical', 'Clinical']","[['72%'], ['86%'], ['84%']]"
32,30526533,"['Log hazard of distant recurrences during 10 years of follow-up', 'C-index for predictive performance evaluation']","['Clinical', 'Clinical']","[['29%', '88% (86�91)', '75% (72�77)', '65% (62�67)', '36% (33�40)', '0.289'], [""{'Age at diagnosis (< 35 vs. ?35 years)': '0.502'}"", ""{'Tumor size (> 20 vs. ?20 mm)': '0.557'}"", ""{'Positive vs. negative lymph nodes': '0.587'}"", '0.502', '0.507', '0.557', '0.561', '0.587', '0.652', '0.513', '0.594', '0.665', '0.516', '0.628', '0.674', '0.695', '0.696', '0.692', '0.675', '0.700', '0.705', '0.701']]"
33,30521075,"['HNC-specific physical symptom burden', 'Symptom interference', 'Patient depressive symptoms', 'Spouse depressive symptoms', 'Cancer-specific distress']","['Clinical', 'Life impact', 'Life impact', 'Life impact', 'Life impact']","[['Over 30% of patients reported moderate to severe (?5 of 10) pain, fatigue, and disturbed sleep; 20�30% reported moderate to severe dry mouth and swallowing problems.', 'less severe HNC-specific symptoms at T1', '7% of patients in SHARE reported more severe physical symptoms compared to 47% of patients in UMC'], ['significant difference by treatment group (p=.01) with a medium effect size in favor of SHARE (d=?.86, 95% CI=?1.61 to ?.11)', '27% of patients in SHARE reported no change and 53% reported less symptom interference (MDASI) at T1. In UMC, 40% of patients reported no change and 47% reported greater symptom interference'], ['5 patients had psychiatric histories significant for depression.', 'p<.05', '-0.84 (medium effect size), 95% CI=-1.59 to -0.10'], ['30%', 'significantly higher anxiety at T0 than spouses receiving UMC (t=3.07, p=.005)', '83% improvement in high depression levels with SHARE, none worsened; 66% unchanged, 33% worsened with UMC (?2=6.75, p=.03)'], ['27% for patients', '47% for spouses', 'p=.01', '-1.05 (large effect size), 95% CI=-1.81 to -0.28']]"
34,30519577,"['Multidimensional vocal assessments', 'Surgery time', 'Three-year overall survival rates']","['Clinical', 'Resource use', 'Mortality']","[['At 6 months post-treatment, about 50% of patients had normal patterns in both groups; CO2-LS group: glottal closure (51%), mucosal wave (41%), symmetry (35%); LTP-RFA group: glottal closure (67%), mucosal wave (60%), symmetry (41%)', 'Grade=1.3', 'Breathiness=1.0', 'V-RQOL (89.6�6.5 versus 93.5�6.9, p=0.71)', 'VHI (16.4�2.4 versus 15.3�3.0, p=0.55)', 'jitter (%)', 'shimmer (%)', 'NHR (dB)'], ['LTP-RFA required significantly less surgery time (8.83�1.59 minutes, p<0.00001)', 'CO2-LS (12.49�1.40 minutes)', 'CO2-LS group (17.3�4.6 seconds), the LTP-RFA group had a nonsignificantly higher MPT (19.0�5.1 seconds) (p=0.63)'], ['94% in the CO2-LS group', '96% in the LTP-RFA group']]"
35,30506519,"['Overall survival (OS)', 'Progression-free survival (PFS)', 'Objective response rate (ORR)']","['Mortality', 'Mortality', 'Clinical']","[['5.4 months (95% CI 4.6�7.4) vs 3.6 months (95% CI 2.8�5.0); HR 0.58, 95% CI 0.42�0.78; p = 0.0002', 'median OS, 6.14 months', '5.3 versus 2.8 months [HR 0.57, 95% CI 0.31�1.05] in patients with prior ramucirumab treatment', '5.5 versus 3.9 months [HR 0.65, 95% CI 0.46�0.92] in patients without prior ramucirumab treatment'], ['median PFS was 1.7 months (95% CI 1.6�2.8) in the nivolumab group versus 1.5 months (95% CI 1.5�1.6) in the placebo group', 'The 6-month PFS rate was higher in the nivolumab versus placebo group (19.0%, 95% CI 13.0�25.9 versus 6.2%, 95% CI 2.0�13.7)', 'HR 0.53, 95% CI 0.39�0.72; p < 0.0001', '3.0 versus 1.4 months [HR 0.39, 95% CI 0.21�0.72] in patients with prior ramucirumab treatment', '1.6 versus 1.5 months [HR 0.64, 95% CI 0.45�0.90] in patients without prior ramucirumab treatment'], ['14.0% (18/129)', '22.2% [6/27] in patients with prior ramucirumab treatment', '11.8% [12/102] in patients without prior ramucirumab treatment']]"
36,30502933,"['Cause-specific mortality', 'Incidence of colorectal cancer', 'Tumour staging']","['Mortality', 'Clinical', 'Clinical']","[['CRC overall RR=0�75; 95% CI 0�66�0�85', 'distal tumors RR=0�51; 95% CI 0�41�0�63', 'proximal tumors RR=0�95; 95%CI 0�79�1 ?14', 'cumulative number of CRC deaths remained higher in the usual care arm compared to the intervention arm over 20 years of follow-up'], ['significantly lower in the intervention arm compared to usual care (RR=0�82; 95%CI 0�76�0�88) with close to 3 fewer cases diagnosed per 10000 PY (RD=2�78; 95%CI 1�82 � 3�74)', 'risks of incident CRC in the intervention arm were lower in both men (RR=0�77; 95%CI 0�70�0�84) and women (RR=0�89; 95%CI 0�80�0�99), but the reduction was significantly larger in men (pinteraction=0�04)', 'The RRs for incidence were similar by age at enrollment; RR=0�79 (95%CI 0�72�0�88) in those aged 65-74 and RR=0�85 (95%CI 0�77�0�93) in those aged 55-64 (pinteraction=0�35)', 'distal tumors: men RR=0�65; 95%CI 0�57�0�74, women RR=0�83; 95%CI 0�70�0�98', 'difference in distal tumors diagnosed comparing usual care arm to intervention: men 3�49 (95%CI 2�43 � 4�55) per 10000 PY, women 0�87 (95%CI 0�10 � 1�64) per 10000 PY', 'proximal CRC incidence not significantly reduced for either men or women', 'age group 55-64: males RR=0�79; 95%CI 0�70�0�90, females RR=0�92; 95%CI 0�80�1�07', 'cumulative number of CRC cases has continued to be higher in the usual care arm compared to the intervention arm, overall and for both distal and proximal tumors', 'RR=0�72; 95%CI 0�64�0�82 (5-10 years)', 'RR=0�90; 95%CI 0�72�1�13 (15-21 years)', '17.0% reduction in stage I tumors', '29.0% reduction in stage IV tumors'], ['14.7% reduction in mortality for stage I tumors', '30.4% reduction in mortality for stage IV tumors', 'p=0�02 significant difference for distal tumors']]"
37,30502785,"['change from baseline in FKSI-DRS score', ""FKSI item 'I am bothered by side effects of treatment'"", 'EuroQol five-dimensional questionnaire utility score', 'adverse events']","['Clinical', 'Adverse Event', 'Life impact', 'Adverse Event']","[['correlation: 0.31 (Trial 1), 0.28 (Trial 2); P < 0.05 for both', '0.6', '?0.62-point decrease (worsening) for fatigue in Trial 1', '?0.74-point decrease (worsening) for asthenia in Trial 2'], ['slopes: 1.26 (Trial 1), 1.20 (Trial 2); P < 0.05 for both'], ['0.1'], ['fatigue, diarrhea, nausea, dysgeusia, palmar-plantar erythrodysesthesia syndrome, anorexia, hypertension, decreased appetite, asthenia, weight decreased, rash, vomiting, arthralgia, and dyspepsia']]"
38,30501974,"['Recurrence rates', 'Time to first recurrence', 'Cumulative recurrence rates at 3, 5 and 7 years']","['Clinical', 'Clinical', 'Clinical']","[['21', 'low-dose: 11, high-dose: 10', '5/10', '4/10', '<9% at 8 years', '1.5% with 1.1 GBq', '2.1% with 3.7 GBq', '1.5% at 3 years', '2.1% at 5 years', '5.0% at 7 years', '0.5% for 1.1 GBq versus 1.1% for 3.7 GBq at 3 years', '1.1% versus 1.7% at 5 years', '4.9% versus 6.3% at 7 years', 'not associated with more recurrences', '7.1% (low-dose), 9.1% (high-dose) for intermediate-risk patients', '4.1% (low-dose), 2.1% (high-dose) for low-risk patients', '1.1% for 1.1 GBq versus 1.1% for 3.7 GBq at 3 years', '3.7% versus 5.5% at 7 years', '7/100', 'rhTSH: 1.5% at 3 years', 'thyroid hormone withdrawal: 2.1% at 3 years', 'rhTSH: 2.1% at 5 years', 'thyroid hormone withdrawal: 2.7% at 5 years', 'rhTSH: 8.3% at 7 years', 'thyroid hormone withdrawal: 5.0% at 7 years', '3.4% (low dose), 5.3% (high dose) in papillary thyroid cancer', '6.0% (low dose), 2.3% (high dose) in follicular and H�rthle cell cancers'], ['1�3 years', '6 months to 7 years'], ['3 years: 1.5% vs 2.1%', '5 years: 2.1% vs 2.7%', '7 years: 5.9% vs 7.3%', '1.5%', '2.1%', '5.0%', '1.1% for 1.1 GBq versus 1.1% for 3.7 GBq', '1.1% versus 1.7%', '3.7% versus 5.5%', 'rhTSH: 1.5%, thyroid hormone withdrawal: 2.1% at 3 years', 'rhTSH: 2.1%, thyroid hormone withdrawal: 2.7% at 5 years', 'rhTSH: 8.3%, thyroid hormone withdrawal: 5.0% at 7 years']]"
39,30515674,"['progression-free survival (PFS)', 'adverse events (AEs)']","['Mortality', 'Adverse Event']","[['Overall: median PFS significantly improved with palbociclib�letrozole vs placebo�letrozole', 'Japanese patients: median PFS 22.2 months (95%CI, 13.6-not estimable) with palbociclib�letrozole vs 13.8 months (5.6�22.2) with placebo�letrozole (HR, 0.59 [95%CI, 0.26�1.34]; 1-sided P = 0.103)', 'By BICR: overall population median PFS 30.5 months (95%CI, 27.4-not estimable) with palbociclib�letrozole vs 19.3 months (16.4�30.6) with placebo�letrozole (HR, 0.65 [95%CI, 0.51�0.84]; 1-sided P < 0.001)', 'Japanese patients: BICR median PFS not reached (95%CI, 14.1 months-not estimable) with palbociclib�letrozole and 16.6 months (5.4�19.3) with placebo�letrozole (HR, 0.45 [95%CI, 0.18�1.12]; 1-sided P = 0.039)', 'median investigator-assessed PFS in Japanese patients was 24.9 months (95%CI, 13.6�38.6) with palbociclib�letrozole vs 13.8 months (5.6-not estimable) with placebo�letrozole', 'HR, 0.67 [95%CI, 0.31�1.47]', 'median PFS by BICR was 27.9 months (95%CI, 16.4-not estimable) vs 16.6 months (5.4�33.2)', 'HR, 0.55 [95%CI, 0.23�1.29]', 'long'], [""{'hematologic AEs': {'incidence any-grade': {'neutropenia': '93.8%', 'leukopenia': '62.5%', 'thrombocytopenia': '37.5%'}, 'grade 3/4 events': {'neutropenia': '87.5%', 'leukopenia': '43.8%', 'thrombocytopenia': '6.3%'}}}"", 'stomatitis (53.1%), nasopharyngitis (43.8%), nausea (28.1%), alopecia (25.0%), increased alanine aminotransferase (21.9%); stomatitis and nasopharyngitis were substantially (> 20% difference) more common among the Japanese vs overall population, whereas fatigue was less common', '62.5% in Japanese vs 36.0% overall population', 'Neutropenia (31.3%), decreased neutrophil count (28.1%) were the only AEs associated with dose reductions in > 1 Japanese patient', 'Five Japanese patients permanently discontinued palbociclib because of AEs']]"
