Pmid,Age,Sex,Condition,Samplesize,Eligibility,Unnamed: 6
30369600,['66 years'],['female'],['incurable cancer'],['The sample size of patients under study is 210.'],"[""The population under study consists of patients recruited from outpatient and inpatient departments of seven metropolitan oncology centers across two Australian states (2 in Victoria and 5 in New South Wales). Patients were informed about the study by their treating oncologist, and if interested, a member of the research team provided greater detail and obtained written consent. Consenting participants completed the baseline questionnaire and were then randomized to either ACP intervention or usual care.""]",
30355464,['68 years (IQR 63-73)'],['male'],"['metastatic prostate cancer', 'prostate cancer']",['2061 patients'],"[""There were no age restrictions; patients were required to have no contraindications to radiotherapy and no clinically significant cardiovascular history."",             ""The eligibility criteria for the population under study include age at randomization (<70 years vs \u226570 years), nodal involvement (negative vs positive vs indeterminate), WHO performance status (0 vs 1 or 2), planned androgen deprivation therapy, and regular aspirin or non-steroidal anti-inflammatory drug use (yes or no).""]",
30353607,['not specified'],['female'],['cervical cancer'],['299 patients'],,
30353049,['>=18 years'],['male and female'],['arm lymphoedema'],['The sample size of patients under study is 160.'],"[""Patients eligible for this study were referred from oncologists or breast surgeons and assessed by a physiotherapist specialised in the field between January 2014 to April 2017."",             ""The eligibility criteria for the population under study include unilateral breast cancer diagnosis regardless of operation date, identified lymphoedema >2 cm and stage ll-lll, completed radiotherapy and/or chemotherapy at least 6 weeks prior inclusion, and exclusion of local relapse through axillary ultrasound scanning. Exclusion criteria are relapse of breast cancer, untreated infection, heart failure, renal failure, deep venous thrombosis in the arm, inability to participate in physiotherapy treatments, or inability to understand instructions.""]",
30345030,['50.2-73.3 years'],['female'],['ovarian cancer'],['349'],[['postmenopausal']],
30343626,['53-65 years'],['female and male'],['colorectal cancer'],"['n=78,220']","[""The eligibility criteria for the population under study in NORCCAP trial include individuals aged 50 to 65 years from two Norwegian regions, totaling n=98,791 participants (78,220 in control group and combined intervention groups of 10,283 and 10,289). There was no screening program during the study period, so the control group did not receive routine colorectal cancer screening."",             ""Eligibility: Individuals born from 1935 to 1945 (53\u201365 years old at time of screening) and individuals born from 1946 to 1950 (49\u201354 years old at the time of screening).""]",
30343455,['52.7 years old'],['female'],"['breast cancer', 'breast cancer']",['134'],"[['Hispanic', 'economically disadvantaged']]",
30340503,['53.5 ± 10.4 years'],['female'],"['breast cancer', 'cancer', 'physically inactive', 'overweight or obesity']",['100'],"['within 6 months of completing adjuvant treatment', ['ethnically diverse']]",
30334959,['not specified'],['male and female'],"['nonmuscle-invasive bladder cancer', 'BCG-na?ve']",['130 patients in each arm'],"[""206 patients from Kyoto Prefectural University of Medicine, Kyoto First Red-Cross Hospital, Matsushita Memorial Hospital, Nantan Hospital, and Ohmihachiman City Hospital scheduled to undergo TUR were enrolled in this study. Of these, 93 were excluded after pathological confirmation, and the remaining 113 patients were randomized by computer-aided randomization procedures""]",
30325021,['64.5 years (SD 5.0)'],['men'],['raised PSA levels'],"['44,825 prostate cancer cases and 27,904 control subjects']",['prostate cancer-free'],
30318772,['Older adults'],['male and female'],"['KRAS wild-type colorectal cancer', 'metastatic colorectal cancer']",['750'],['chemotherapy-refractory'],
30318515,['mean age 57.5 years'],['female and male'],"['locally advanced or metastatic pancreatic adenocarcinoma', 'unresectable pancreatic cancer']",['150'],['candidates for first-line chemotherapy with gemcitabine'],
30316827,['not considered'],,"['localized prostate cancer', 'cancer', 'not specified']",,['no restrictions'],
30301829,['not specified'],['female'],['metastatic castration-resistant prostate cancer'],['54 patients'],"[""The eligibility criteria for the population under study include patients with prostate cancer who are not previously treated with taxane therapy, have a PSA result available, and have evaluable CTC mRNA at baseline. The median age of these patients is 71 years (range 53-84), with 37% having an ECOG performance status of 0, 59% having a status of 1, and 4% having a status of 2. Additionally, 43% have received prior AR-targeted therapy.""]",
30300367,['not specified'],['men'],['intermediate prostate cancer risk'],['360'],['without history of prostate cancer'],
30298469,['>=18 years'],['female'],['advanced biliary tract cancer'],['307 patients'],,
30296337,['not specified'],['male'],"['gynecological cancer', 'cancer', 'anxiety and depression']",,"[['active cancer treatment', 'within 6 months of ending cancer treatment']]",
30291797,['61.5 years (s.d.=11.9)'],['adults'],['cancer'],['N=418'],"[""The eligibility criteria for the population under study are patients with cancer who were eligible for participation in therapeutic cancer clinical trials. They were recruited nationwide by research coordinators at community-based oncology clinics affiliated with the University of Rochester Cancer Center (URCC) NCI Community Oncology Research Program (NCORP) Research Base from 2014\u20132016."",             ""\u2265 18 years of age""]",
30290817,['no difference'],"['female', 'male']",['small cell lung cancer'],"['250', '250']",,
30286418,['18-88 years'],['female'],"['parotid cancer', 'cancer']",['110'],"[""Eligibility criteria: patients aged \u226518 years, WHO performance status 0-1 with histologically confirmed malignant primary parotid tumors (pT1-4, N0-3, M0) requiring post-operative adjuvant radiotherapy. Exclusion criteria included previous head and neck radiotherapy, pre-existing severe hearing loss (>60 dB in bone conduction threshold at 4000 Hz in ipsilateral cochlea), need for chemotherapy. Patients were staged by diagnostic CT or MRI of head and neck and chest X-ray or thorax CT. Resection status was documented from histopathology as R0 (resection margin >5 mm), R1 (1-5 mm) or R2 (<1 mm). Patients required long-term follow-up including audiograms and written informed consent.""]",
30285673,['18-75 years'],['male and female'],['gastric adenocarcinoma'],['The sample size of patients under study is 100 cases per group.'],"[""50 cases"",             ""18-75 years"",             ""The given text chunk describes the eligibility criteria for the population under study as having a clinical stage of either IA (T1N0M0) or IB (T1N1M0, T2N0M0), according to the AJCC-7th TNM staging system. Therefore, the answer to the question \""What is eligibility of population under study?\"" would be:\n\nClinical stage IA (T1N0M0) or IB (T1N1M0, T2N0M0)""]",
30281698,['similar'],['female'],"['endometrial carcinoma', 'obesity']",['90'],[['clinically restricted to the uterus']],
30277569,['over 18 years'],['female'],['rectal cancer'],['125'],['non-oophorectomised'],
30269276,['59.5 (51-82)'],['female'],['colorectal cancer'],['80'],"[""Eighty patients scheduled for a colorectal resection with a cancer indication.""]",
30268156,['49 [12] years'],,['colon adenocarcinoma'],['n = 19'],['surgically amenable liver metastasis'],
30260474,,['female'],['advanced breast cancer'],['468 patients'],"[""The eligibility criteria for the population under study include being of European genetic ancestry as confirmed by two principal components analyses (PCA) using GenABEL R package and EIGENSTRAT method. Samples were excluded if any of the first three PC vectors were outside two standard deviations of the mean values for patients self-reporting \u201cWhite\u201d race and \u201cNon-Hispanic\u201d/\u201dUnknown\u201d ethnicity, resulting in 478 samples for primary analysis."",             ""468 genetic European patients""]",
